Group,Unique_times,chat
,1:18:44,"[' XD FUNNI', ' BabyRage BabyRage BabyRage', ' wtf', ' OWLPHI OWLPHI OWLPHI OWLPHI', ' :stadium:️ SPAM :stadium:️ THIS :stadium:️ DOME :stadium:️ TO :stadium:️ BRING :stadium:️ IT :stadium:️ HOME :stadium:️', ' watsss ap', ' xD Disney xD', ' PROF 🖕 T', ' melgroChamp melgroChamp melgroChamp melgroChamp', ' XD', ' haHAA', ' XD', ' OWLgg', ' DISNEY', ' 2 days finals LUL']"
7,1:29:03,
,1:29:04,"[' PogChamp', ' OwO', ' PogChamp PogChamp', ' owlval100 owlval100', ' PROFIT GOD PogChamp', ' OFF WHITE POGGERS', ' SourPls', ' P R PogChamp F I T', ' EZ EZ EZ WIN', ' S W A G G E R', ' PogChamp PogChamp PogChamp PogChamp', ' P R PogChamp F I T', ' MIDDLE FINGER', ' PROFIT THE MVP owlldn50', ' PogChamp PogChamp PogChamp']"
,1:29:05,"[' OWLonfire OWLonfire OWLonfire', ' BOOOO', ' Over 200k people here!', "" i've got a crush on birdring KappaPride""]"
,1:29:06,
,1:29:07,"[' MYKL', ' huuuuuuuuuuuuuuuuuuge', ' go profit', ' pog', ' the off whites bruh', ' same shoes?', ' Pog FIt', ' P R PogChamp F I T', ' so much cringe', ' BIRDRING', ' OWLLDN', ' POGFIT', ' OWLcheers OWLpotg OWLcheers', ' LMAO', ' NO NOT PROFIT NotLikeThis']"
,1:29:08,"[' fury or lose', ' PogChamp', ' lol', ' FURREEEEEEE', ' PROFIT', ' PROFIT!!!!!', ' 4. PROFIT', ' fanboiiii', ' owlldn100', ' PinkMercy', ' PHILLY', "" profit's on stage OWLgg OWLgg OWLgg"", ' PogChamp', ' PROFIT', ' PR PogChamp OFIT']"
,1:29:09,[' _I_']
,1:29:10,[' owlldn100']
,1:29:11,"[' PR PogChamp F I T', ' ', ' knePum kneDAM kneAGE kneGo kneThis kneBABY', ' Ye', ' PogChamp FIT', ' PogChamp', ' London BTW', ' fury pog', ' PROFIT', ' OmegaLul', ' MVP MVP', ' PROFIT', ' gangnam style Pogchamp', ' GESTURE BEST TANK', ' LUL']"
,1:29:12,"[' I LOVE THEM LONDON BOYYYSSS', ' YES', ' PogChamp', ' LUL fury', ' fuREEEEEEEEEEEEEEEE', ' owlsfs150', ' PROFIT', ' PROOOOFIIIIIIT', ' BOOOOOOOO', ' OWLPHI OWLteamkill OWLpotg OWLgg', ' No spamming allowed (Neverbloc) (warning)', "" London 90's hairstyles LUL"", ' owlfla150', ' OFF WHITE AIRS Kreygasm', ' LUL']"
,1:29:13,
,1:29:14,
,1:29:15,"[' Non of which are English', ' PROFITTTTTTTTTTTTTTTTTTT', ' D:', ' owlsfs100 owlsfs50', ' Fury came out so tired already', ' trippleS wow', ' P R PogChamp F I T', ' PROOOOOFIT', ' PogChamp PogChamp', ' i’m the florida mayhem guy', ' owlphi100', ' PROFIIT?', ' BOOOOO', ' lol same', ' OWLonfire OWLonfire OWLonfire OWLonfire']"
,1:29:16,"[' PogChamp', ' WHY THIS AGAIN', ' k', ' PROFIT', ' xqcHAhaa xqcHAhaa xqcHAhaa', ' Booooooooyah', ' PogChamp', ' C R I N G E', ' C R I N G E', ' GO FURI', ' oof', ' owlldn250', ' FURRRRRRRY', ' NONE FROM LONDON LUL', ' cringe']"
,1:29:17,"[' Pogchamp', ' LUL', ' FURRY', ' LuL', ' cmonBruh', ' LUL', ' owlnye50', ' owlbos150', ' owlphi100']"
,1:29:18,"[' OOF', ' LUL', ' D:', ' LUL', ' OWLPHIg OWLPHI OWLPHIg OWLPHI OWLPHIg', ' D:', ' OWLLDNg OWLLDNg OWLLDNg OWLLDNg', ' FURY ', ' D:', ' LUL', ' FURY PogChamp', ' Matching shoes PogChamp', ' PogChamp PogChamp PogChamp', ' PR LUL FIT', ' Kpop']"
,1:29:19,"[' why do they all have hypebeast shoes', ' ResidentSleeper', ' gg', ' VIRGIL', ' PogChamp', ' ITS COMING HOME BOIS', ' LUL', ' ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper', ' lol Florida mayhem', ' FURY POG', "" It isn't Spitfire vs Fusion. It's Profit vs Carpe"", "" LET'S GO LONDON"", ' The BTS army', ' PogChamp PogChamp PogChamp', ' PROFIT BEST OWL PLAYER!!!']"
