Unique_times,chat,
2:41:51,"[' LUL LUL LUL', ' Feno EZ Clap', ' PogU', ' LUL', ' PagChomp', ' LUL', ' Pog', ' WHAT', ' PogChamp', ' gg']",
2:41:52,"[' WHAT', ' Pog Pog Pog Pog Pog', ' HAHAHAHA', ' LULW', ' Pog', ' Pog', ' LUL', ' Pog']",
2:41:53,"[' Pog', ' LULW', ' Pog', ' Pog', ' jklbkö', ' monkaW', ' Pog', ' Pog', ' LUL', ' LUL', ' LUL']",
2:41:54,"[' LOL', ' synergy Pog', ' LUL', ' gg wp', ' OMEGALUL', ' hahahahaha', ' LUL', ' Spam TwitchRPG This TwitchRPG Geico TwitchRPG to help out TwitchRPG TwitchRPG SEIKO', ' LUL']",
2:41:55,"[' LULW', ' EZ MAGE', ' LUL', ' Pog', ' Professional RNG Game.', ' WT.....', ' hahahahahahaha', ' PogU WHAHAAATTTT', ' PogChamp PogChamp PogChamp PogChamp']",
2:41:56,"[' POG', ' LUL', ' LOL', "" as we say here go to the greeks seiko don't waste our time"", ' PogChamp PogChamp', ' LULW', ' frozen movie', ' ice cream girl danP', ' :)', ' 3 OMEGALUL', ' LOL', ' OpieOP Vanilla Ice Cream', ' Pog', ' lol', ' PogChamp']",
2:41:57,"[' LUL', ' NEW CARD PogChamp PogChamp PogChamp', ' LUL', ' lol', ' LULW', ' LUL', ' LUL', ' mage betterrrr']",
2:41:58,"[' LOL', ' BlessRNG', ' OMEGALUL OMEGALUL OMEGALUL', ' LUL', ' LUL', ' LUL', ' ice cream POGGERS', ' RIGGED', ' wowza', ' LULW']",
2:41:59,"[' LUL', ' only won due to freeze rng', ' PagChomp', ' LULW', ' PogChamp', ' WutFace', ' LOL', ' PogChamp PogChamp', ' pog', ' ?? LULW', ' PogChamp', ' New card PogChamp', ' PogChamp', ' Skillz']",
2:42:00,"[' esports FeelsOkayMan', ' whattttt', ' fjhfjh', ' LOL', ' ICE CREAM PEDDLER', ' LUL', ' DONT LIKE CHOCOLATE', ' Pog', ' evo17MindBlown', ' pog', ' lol', ' EZ Clap']",
2:42:01,"[' @dingding12321 NANI?!', ' wow', ' LUL', ' ONE MORE TURN fifiPog', ' WHAT THE ACTUAL', ' Ice cream peddler?!?!?', ' HACKS', ' YOURE JOKING WHAT EVEN']",
2:42:02,"[' LULW', ' OpieOP', ' LUL', ' PogChamp', ' LUL', ' LOL', ' lol', ' SwiftRage SwiftRage SwiftRage SwiftRage', ' Wowzers']",
2:43:04,"[' alt + F4', ' pepeJAM', ' LULW']",
2:43:05,"[' pepeJAM', ' Hi @dreads :D', ' LUL']",
2:43:06,"[' LUL', ' ZULUL', ' u scream.I scream. we all scream for the peddler!!']",
2:43:07,,' GG'
2:43:08,"[' PepeLaugh', ' 3-0', ' kazino ebanoe', ' feno Kreygasm', ' ORDER LUL']",
2:43:09,,' nice shark nice shadowstep'
2:43:10,"[' LUL', ' OWL2019gg OWL2019gg OWL2019gg OWL2019gg OWL2019gg OWL2019gg', ' no time for tasty treats', ' pepeJAM', ' gg', ' MAGE BrokeBack BrokeBack BrokeBack BrokeBack']",
2:43:11,"[' Gg btw', ' Cheeky', ' BrokeBack GG', ' Why blizzard not nerfing mage?', ' well']",
2:43:12,"[' LOIPON FENO tholwW', ' Mages Identity: Bad at making big boards LUL', ' LUL', ' GG', ' gg']",
2:43:13,,
2:43:14,"[' LUL LUL', ' PepeHands', ' GG', ' pepeJAM', ' LULW', ' pepeJAM', ' gg', ' OWL2019gg', ' HSWP']",
2:43:15,"[' NotLikeThis NotLikeThis NotLikeThis', ' HSWP HSWP HSWP HSWP HSWP HSWP', ' @dreads Hi']",
2:43:16,"[' gg', ' LUL', ' OWLgg', ' SeemsGood SeemsGood SeemsGood', ' ouch', ' izi', ' EZ RNG LULW']",
2:43:17,"[' BibleThump', ' feno only lucky no skill', ' lucker panda', ' GG']",
2:43:18,"[' pepeJAM Clap pepeD pepeD pepeD pepeD', ' HS18ConcedeLeft HS18ConcedeRight', ' LUL LUL LUL LUL LUL', ' GG', ' 3-0 LUL']",
2:43:19,"[' FATO', ' nice mulligan', ' I remember someone saying that cast speaking about icecream was stupid', ' BibleThump', ' KALINOTSEEEEEEEEEEEEEEEEEEEEEEEEES', ' seiko why']",
2:43:20,"[' GG', ' GG', ' FENO EU GM', ' EZ', ' gg']",
2:43:21,"[' EZ', ' BOB bottomRight bottomRight bottomRight bottomRight bottomRight bottomRight', ' EZ Clap', ' GRIFTAH OMEGALUL']",
2:43:22,"[' Clap', ' Ez', ' !bracket', ' OWL2019gg', ' pharaohPasok pharaohShooters pharaohPasok pharaohPasok pharaohShooters pharaohPasok pharaohPasok', ' EZ', ' OpieOP Clap', ' The bracket can be found here: https://bit.ly/2Xd54rt', ' NotLikeThis', ' NotLikeThis']",
2:43:23,"[' LOL', ' BibleThump', ' gg', ' HS18ConcedeLeft HS18ConcedeRight', ' BibleThump BibleThump', ' Pog', ' EZ Clap']",
2:43:24,"[' 3 - OMEGALUL', ' NotLikeThis', ' Big board and taunt are not part of Mage class identity!!!', ' BibleThump', ' BibleThump', ' andyGG', ' BibleThump', ' WELL PLAYED FENOOOOO', ' gg', ' BibleThump BibleThump']",
2:43:25,"[' EZ Clap', ' PepeHands', ' C R Y I N G', ' Pog', ' PogChamp PogChamp', ' EZ', ' Kreygasm Kreygasm Kreygasm']",
2:43:26,"[' gg', ' fake reaction', ' Pog', ' GG RE FENO!!!', ' gg', ' RNG LUL', ' lolololo', ' EZ', ' DansGame', ' fenooo', ' gg', ' GGWP']",
2:43:27,"[' gg', ' NotLikeThis', ' AngelThump', ' mpravo agori moy', ' gg', ' HSWP HSWP HSWP HSWP', ' nai re', ' go fenooo', ' gg', ' Oof', ' theohsNerf theohsRage', ' PepeHands']",
2:43:28,"[' HS18GG', ' blizzard my decks¡¡¡', ' GG', ' GG', ' wp greeec', ' ez win LUL LUL LUL', ' ez', ' t90GG t90Nice', ' EZ', ' EZ', ' gg', ' skill Pog', ' gg feno', ' bald LUL', ' BETTER PLAYER WON 4Head']",
2:43:29,"[' Kappa //', ' pharaohPasok pharaohShooters pharaohPasok pharaohPasok pharaohShooters pharaohPasok', ' gggggg', ' EZ FENO EZ', ' pepeD pepeD pepeD pepeD', ' HS18GG', ' EZ 3-0', ' sk', ' feno PogU', ' GG', ' SCUFFED POKELAWLS', ' parta', ' gg packs?']",
2:43:30,"[' freeze rng', ' GJ FENO THE DON', ' NotLikeThis', ' zzzzzzzzz', ' GJ dude', "" Decklists for the Hearthstone Grandmasters can be found by clicking on the matchup you'd like to see the lists for here: https://bit.ly/2Xd54rt"", ' bye guys', ' moon2POGGYWOGGY', ' BROKEN WIN']",
2:43:31,"[' BibleThump BibleThump BibleThump', ' GreeeeceeeeE', ' gg', ' lol', ' Lucker', ' wow very nice play', ' best player in EU']",
2:43:32,"[' SeemsGood', ' gg Clap', ' Ez', ' GG', ' HSWP HSCheers', ' 3-0 as I predicted', ' well played FENO', ' Rot ebal etogo kazino', ' WELL PLAYED OMG', ' EZZZZZZZZ']",
3:11:58,,' EZ Clap'
3:11:59,,' SMOrc SMOrc SMOrc SMOrc'
3:12:00,,
3:12:01,,' aimz10'
3:12:02,,
3:12:03,,
3:12:04,,
3:12:05,,
3:12:06,"[' purple will lose this match 1-3', ' playing around molten giant']",
3:12:07,"[' frozrn can frow', ' a']",
3:12:08,"[' SMORC', ' thats just arrogance', ' Kappa']",
3:12:09,"[' protesting babyrage', ' Kappa']",
3:12:10,,' packs'
3:12:11,,' not even pressing this bad heropower LUL'
3:12:12,,
3:12:13,,' more opacks'
3:12:14,,
3:12:15,,
3:12:16,,' zzzzzz'
3:12:17,"[' BabyRage BabyRage', ' LUL', ' LUL', ' OMEGALUL', ' LUL', ' OMEGALUL']",
3:12:18,"[' 1 damage missed to kill 10/10', ' OMEGALUL', ' LUL LUL LUL LUL', ' LUL', '0', ' haha', ' LULW', ' LULW', ' LUL', ' LUL', ' LUL', ' LUL GREAT WAND', ' VALUE LUL', ' LULKW']",
3:12:19,"[' OMEGALUL', ' I think he just missed it guys', ' LUL', ' Kappa', ' LUL', ' POG', ' LUL', ' lul', ' LULW', ' how many packs do you get and how often?', ' LUL', ' 0 mana prep PogChamp', ' LUL', ' LUL', ' SMOrc']",
3:12:20,,
3:12:21,"[' monkaS', ' LUL', ' HAHHQQHHAHAH', ' LUL', ' Pog 0 mana', ' 0 mana LUL', ' LULW', ' wanted to save the 2 for? Jebus']",
3:12:22,"[' LUL', ' LUL', ' Oof preps', ' LUL', ' LUL', ' LULW', ' lol', ' 0 mana prep PogChamp', ' LULW', ' :-( :-(', ' lol', ' LUL', ' LUL', ' OMEGALUL', ' that wand']",
3:12:23,"[' hahahaha', ' looooooooooooooooooool', ' LUL', ' LMAO', ' 0 mana prep POG', ' lul', ' ㅋㅋㅋㅋ', ' LUL', ' LULW', ' such value']",
3:12:24,"[' hahahhahaha nice draw', ' LULW', ' 0、0、0', ' LUL', ' LULW']",
3:12:25,"[' NICE WAND', ' Kappa', ' best 0 mana cards LUL', ' give me pack', ' 3 0 mana cards LUL', ' LUL', ' OMEGALUL', ' LOLOL', ' no way', ' LOOOOOL', ' TRIPLE ZEOES LUL', ' LUL', ' LULW', ' trolden']",
3:12:26,"[' OMEGALUL', ' legend', ' LUL', ' LUL', ' LUL', ' those draws LUL', ' lul', ' Wow', ' OMEGALUL']",
3:45:53,,' This game is done next turn'
3:45:54,,' No balls PepeLaugh'
3:45:55,"[' bombs', ' Bomb RIP']",
3:45:56,"[' SMOrc SMOrc SMOrc', ' Quick math']",
3:45:57,"[' monkaW', ' GG']",
3:45:58,,' Quick maths'
3:45:59,"[' SMOrc NOT ORANGE PLAYS', ' 5Head', ' RNGesus']",
3:46:00,,' Pog'
3:46:01,,
3:46:02,"[' no one wants warrior to win though dam', ' didnt frozen won first game ?', ' Huge balls PogU']",
3:46:03,,' monkaW'
3:46:04,"[' monkaS', ' SMOrc SMOrc SMOrc SMOrc', ' noooo', ' monkaW', ' Get bomberd frozen']",
3:46:05,,
3:46:06,,' SMOrc'
3:46:07,,' SMOrc Clap'
3:46:08,"[' Please beat this smug warrior.', ' NO BOMB PLS', ' glgl', ' BlessRNG', ' omg', ' Ggggg']",
3:46:09,"[' GG LUL', ' PogChamp PogChamp PogChamp', ' EZ']",
3:46:10,"[' EZ', ' GG', ' EZ']",
3:46:11,"[' POGGERS', ' QUICK MATHS', ' LUL', ' GG PogU', ' EZ', ' EZ Clap', ' EZ', ' wow', ' EZ', ' EZ']",
3:46:12,"[' EZ', ' PogU', ' nice', ' Ez', ' LUL', ' LUL', ' EZ Clap', ' gg']",
3:46:13,"[' wow', ' PogU', ' CLAP', ' EZ', ' 💣 Clap', ' WE WANT TO SEE ESPIONAGE', ' gg']",
3:46:14,"[' ищщь', ' EZ Clap', ' Pog', ' THROWZEN', ' EZ', ' Pog', ' BOOOOOOOOOOOOL', ' BrokeBack', ' RNG Pog', ' EZ', ' monkaW', ' rekt']",
3:46:15,"[' monkaW', ' EZ bomb', ' EZ', ' DansGame', ' BrokeBack', ' monkaW', ' monkaW', ' LUL', ' nice', ' LUL']",
3:46:16,"[' Minesweeper EZ', ' LOL LOL', ' PogChamp', ' monkaS', ' F', ' EZ', ' EZ', ' EZ', ' supreme!', ' BOMB EZ', ' gg', ' EZ', ' Purple seems so happy.', ' Pog', ' Pog']",
3:46:17,"[' rigged LUL', ' FeelsAmazingMan', ' FailFish FailFish FailFish FailFish FailFish', ' EZ Clap', ' EZ', ' Bomb EZ', ' what a joke', ' HERE COMES THE BOOOM', ' EZ Clap', ' EZ', ' EZ', "" Let's "", '777777777777']",
3:46:18,"[' meh..', ' ', ' LULW', ' ez', ' woo', ' GG', ' Clap', ' big brain', ' DansGame', ' OMEGAlUL', ' throwzen LULW Clap !', ' PogChamp']",
3:46:19,"[' purplewW ', ' PogChamp', ' PurpleHeart GO PURPLE', ' LOOOOOOOL EZ', ' jea', ' EZ', ' SICK', ' :/', ' im uninstalling hs goodbye chat', ' OMG - JC a bomb!', ' wow', ' somebody ordered a bomb?', ' 2-0 PogChamp']",
3:46:20,"[' Pog', ' HE THREW', ' EZ', ' RNG', ' EZ Clap ayy', ' LULW', ' Skill EZ', ' skill....', ' ESPORTS LULW', ' yes Logu', ' EZ Clap winning americas']",
3:46:21,"[' EZ', ' EZ Clap', ' EZ', ' cmonBruh', ' well deserved', ' both games such skill', ' whoaaaa', ' LUL', ' SAD', ' NA HEARTHSTONE LUL', ' THROWZEN', ' EZ LUL', ' LuL', ' monkaS', ' karma boi']",
3:46:22,"[' Krushed', ' EZ Clap', ' EZ', ' EZ', ' purplewEZ Clap', ' EZZZZZZZ', ' frozen NotLikeThis', ' EZ', ' BOOOOM', ' O O F', ' what a joke', ' LETS GOOOOOOOOOOOO', ' gg', ' ...', ' 2 0 EZ EZ EZ']",
3:46:23,"[' t90Rigged t90Rigged t90Rigged', ' HE THREWWWW', ' monkaW', ' bobrossGG bobrossGG bobrossGG', ' LUL']",
3:46:24,"[' GG', ' gg', ' PURPLE A DAWG', ' THROWZEN', ' purple actually won', ' EXTRA ARMS Purple', ' incredible', ' THROW ZEN', ' nice', ' GOOD RULES LUL']",
3:46:25,"[' gg', ' EZ', ' let him win BibleThump BibleThump BibleThump', ' SCAMMED', ' as boring as purple loss', ' gg', ' Cheaters never win', ' LUL', ' balanced deck', ' purple LUL', ' PUKICH', ' EZEZEZ', ' bomb win nice!']",
3:46:26,"[' gg', "" Frozen'd"", ' LULW', ' ', ' purplewEZ Clap .', ' HOLYSHT', ' ez clap LUL LUL LUL LUL', ' monkaW', ' LULW', ' purplewEZ purplewEZ purplewEZ', ' UNDEFEATED PogChamp', ' NA LUL']",
