Unique_times,chat,
4:17:45,"[' 🍝 Spam 🍝 This 🍝 Spaghetti 🍝 To 🍝 Help 🍝 Mr.Eddie 🍝', ' EZ', ' LUL ed on', ' LULW Warrior', ' Bye bye warrior LULW', ' BabyRage', ' REKT', ' SKILL BOOOYSSS', ' amazing game']",
4:17:46,"[' BabyRage BabyRage BabyRage', ' GG', ' HA! I love this.', ' EDDIE PogChamp', ' gg', ' RNGstone', ' OVERACTING SwiftRage', ' this matchup is crazy', ' SMOrc SMOrc SMOrc SMOrc', '777777777', ' holy wrath paladin POGGERS', ' REEKTTT']",
4:17:47,"[' SeemsGood', ' GG', ' yessss', ' PogChamp PogChamp PogChamp PogChamp PogChamp', ' F', ' BlessRNG BrokeBack', ' BibleThump BibleThump BibleThump', ' smorc']",
4:17:48,"[' Clap', ' HAHAHAHHAHAHAHAH', ' xD AYAYA!', ' HAHAHAHAHAHA LUL', ' NVM GO EDDIE!! I VOTE FOR THE MEMER', ' go bald', ' purple BibleThump', ' EZ', ' BabyRage MOM', ' LULW', ' F', ' easy', ' wcsBilly wcsBilly']",
4:17:49,"[' hahaha', ' gg', ' POGGERS POGGERS POGGERS POGGERS', ' Kappa //', ' gg']",
4:17:50,"[' dreadsGG', ' YES!', ' PogChamp PogChamp PogChamp PogChamp PogChamp', ' Kreygasm', ' really well played by eddie EZ Clap', ' FeelsBadMan', ' Clap Clap', ' andyOhMyPug', ' LUL LUL LUL LUL', ' F', ' GG bye bye purple', ' Unskilled player', ' EZ', ' farwell']",
4:17:51,"[' RNGSTONE LULW', ' NON META DECK WINS EZ Clap', ' SUCH BAD RNG FOR PURPLE FeelsBadMan', ' D dogdogGERS G', ' EZ', ' what a deck', ' LUL', ' LUL META']",
4:17:52,,
4:17:53,"[' OMEGALUL', ' Rigged', ' base skill', ' uther PogChamp', ' EZ Clap', ' GG', ' RNGstone confirmed t90Rigged', ' gg', ' outclassed', ' ez', ' EZ', ' omegalul', ' EZ Clap', ' NotLikeThis NotLikeThis NotLikeThis NotLikeThis']",
4:17:54,"[' GG', ' BibleThump', ' Paladin OP Kappa', ' A game ended OMEGALUL One of the two players LOST OMEGALUL', ' BabyRage BabyRage BabyRage', ' ew eddie', ' PepeHands', ' gg', ' Lolol']",
4:17:55,"[' Eat it warrior.', ' EleGiggle', ' REEKT', ' ggs', ' Hahahahahahahah Warrior lose so good', ' lol', ' SPOILERS FROM EDDIE', ' HS18GG HS18GG', ' PJSalt YouWHY PJSalt', ' skill game', ' Dog is in semis?!']",
4:17:56,"[' get rekt turtle', ' NOICEEE', ' monkaS', ' derpyderp paladin', ' purplewRNG purplewRNG', ' 6 bombs as last 6 cards OMEGALUL', ' F']",
4:17:57,"[' gg ez', ' POGGERS', ' lul', ' F', ' lucky', ' yes', ' GG', ' PURPLE IS REKT', ' BabyRage BabyRage BabyRage', ' EZ', ' LULW', ' SMOrc', ' Yuppiiiii!!!', ' So lucky', ' Warrior lost to THAT']",
4:17:58,"[' BibleThump BibleThump', ' !bracket', ' DOG Pog', ' BabyRage', ' purplewRNG', ' EZ', ' The bracket can be found here: https://bit.ly/2Xd54rt', ' gg', ' AH YES WARRIOR LOSING FeelsGoodMan', ' ESPORTS', ' gg', ' niceee']",
4:17:59,"[' F', ' ', ' Gg', ' Purple BibleThump']",
4:18:00,"[' NEW CARD REVEALLED CHECK TWITTER', ' LOL', ' eee', ' better player won LUL', ' fair enough', ' LUL LUL LUL LUL LUL', ' HS18Logo HS18Logo', ' 200 IQ deck won']",
4:18:01,"[' My new fav cheese Maker!', ' rekt EZ', ' BibleThump BibleThump BibleThump BibleThump BibleThump', ' META LULW', ' GG', ' PJSalt NOOOO', ' Dont know why he was so stunned lol', ' randomstone', ' no fair']",
4:18:46,,' KappaPride'
4:18:47,,' why i dont win loot? lol'
4:18:48,,' not his fault :)'
4:18:49,"[' lul', ' More non-meta deck pls']",
4:18:50,,' PowerUpL HSCheers PowerUpR'
4:18:51,"[' HSWP HSWP', ' GO EDDI']",
4:18:52,"[' fenomeno will win this tourney for sure', ' Bomb warrior is dead🦀🦀🦀']",
4:18:53,,
4:18:54,,' gg'
4:18:55,"[' eddie provided quality entertainment with meme decks', ' kl', ' priest']",
4:18:56,,' LUL LUL'
