,index,event,event_code,time,user,message,category,code,diff,group,parts
184,2480,match round two,9,[1:40:41] ,crypticrumpet,unfortunate drop,other,10,1,10,c
185,2481,match round two,9,[1:40:41] ,lalilulelolz,isnt lucia like the third character to have that exact same heavy kick animation,question,8,1,10,c
186,2574,match round two,9,[1:44:49] ,cryojazz,everyone came through with the announcements but capcom,game,9,93,11,a
187,2575,match round two,9,[1:44:52] ,sonicsupremacy,crypticrumpet its okay but low tiers are really hurting tbh,game,9,1,11,a
188,2576,match round two,9,[1:44:53] ,metalxoath,bobdobbz oh sweet thanks,other,10,1,11,a
189,2577,match round two,9,[1:44:54] ,crypticrumpet,karin isnt even op shes just incredibly solid,cinfo,5,1,11,a
190,2578,match round two,9,[1:44:55] ,ensanesane,he just stood there lol,caction,3,1,11,a
191,2579,match round two,9,[1:44:55] ,someguyzero,i bet phenom picked up karin because he kept getting bodied by punk punk scarred him for life,comment,2,1,11,a
192,2580,match round two,9,[1:44:55] ,kristoffers,you gone through lucias story mode already,question,8,1,11,a
193,2581,match round two,9,[1:45:00] ,acekings,why does she talk like that where is she from,question,8,1,11,a
194,2582,match round two,9,[1:45:02] ,lalilulelolz,all i want for juri is just few plus frames please,request,1,1,11,b
195,2583,match round two,9,[1:45:03] ,snowfarmer,karin needs buffs she actually requires slight execution,cinfo,5,1,11,b
196,2584,match round two,9,[1:45:05] ,murkado,so boys where does lucia fall on the sf thiccness tier list,question,8,1,11,b
197,2585,match round two,9,[1:45:06] ,kirb,i didnt watch tekken and smash bros was it hype,other,10,1,11,b
198,2586,match round two,9,[1:45:07] ,megatonbeef,gave up,caction,3,1,11,b
199,2587,match round two,9,[1:45:07] ,ssjsoujiro,stage looks great but does it do the thing at match end tho,game,9,1,11,b
200,2588,match round two,9,[1:45:07] ,shredmaster,he afk tpfufun tpfufun tpfufun,other,10,1,11,b
201,2589,match round two,9,[1:45:08] ,roninwoof,they announced there would be an announcement in nov seriously,game,9,1,11,b
202,2590,match round two,9,[1:45:09] ,shinzo,evo annoyed me when infexious went vt vs big bird and the james chen with the other guy couldnt understand why he would use it because its a bad vt it was obvious it was there as a way to escape corner pressure opf rashid because it side swaps,game,9,1,11,c
203,2591,match round two,9,[1:45:09] ,thedarkfenix,i see guess rip for ryu,game,9,1,11,c
204,2592,match round two,9,[1:45:10] ,taskanawa,lol,goodp,6,1,11,c
205,2593,match round two,9,[1:45:12] ,theenygma,technically mk didnt have shit either,other,10,1,11,c
206,2594,match round two,9,[1:45:12] ,taken,sunflower akuma d,request,1,1,11,c
207,2595,match round two,9,[1:45:17] ,renevbz,bet capcom wishes they stuck with ps steam ruined evo,game,9,1,11,c
208,2596,match round two,9,[1:45:17] ,ssjsoujiro,haha it does nice,goodp,6,1,11,c
209,2597,match round two,9,[1:45:23] ,hurked,tekken was for sure,other,10,1,11,c
210,2666,match round two,9,[1:48:10] ,ensanesane,actual bronze cody cause no vskill aa,game,9,69,12,a
211,2667,match round two,9,[1:48:10] ,rorboy,edi e before haggar,other,10,1,12,a
212,2668,match round two,9,[1:48:17] ,chronodragon,cody vt,request,1,1,12,a
213,2669,match round two,9,[1:48:19] ,someguyzero,shinzo no but everyone was talking about it after,other,10,1,12,b
214,2670,match round two,9,[1:48:27] ,hayates,her shimmy game is od i love her,cdesign,4,1,12,b
215,2671,match round two,9,[1:48:28] ,poorygone,metalxoath people are looking into it but soo far no balance change,other,10,1,12,b
216,2672,match round two,9,[1:48:28] ,heaveniydemon,shinzo i was dying when that happen lol,other,10,1,12,c
217,2673,match round two,9,[1:48:31] ,joskyboi,vskill aa isnt this great,other,10,1,12,c
218,2749,match round two,9,[1:50:58] ,roninwoof,game,game,9,76,13,a
219,2750,match round two,9,[1:50:59] ,andynigma,she can slide fireballs already something bad against ken,caction,3,1,13,a
220,2751,match round two,9,[1:51:01] ,topgunlt,riot did say they were gonna announce something later this year probably at this years lol world championship,game,9,1,13,a
221,2752,match round two,9,[1:51:01] ,kiboshkaibutsu,how plus is tht m punch,question,8,1,13,a
222,2753,match round two,9,[1:51:09] ,themrheadache,her ex qcb does the same damage as her medium and less than her heavy,cinfo,5,1,13,a
223,2754,match round two,9,[1:51:09] ,thablackoshin,that mp is a bully button,comment,2,1,13,a
224,2755,match round two,9,[1:51:15] ,domadormilagroso,kof for ps or next gen,other,10,1,13,a
225,2756,match round two,9,[1:51:16] ,almightygod,eltaninz i think it would be a lol fighter,game,9,1,13,a
226,2757,match round two,9,[1:51:19] ,azurewotan,appearently league fighting game was trademarked,game,9,1,13,a
227,2758,match round two,9,[1:51:22] ,thebananatreeboa,oro wont be as cool without kurodaunblockable setups,cinfo,5,1,13,a
228,2759,match round two,9,[1:51:26] ,swiftruina,and its right rip,other,10,1,13,a
