index,event,event_code,time,user,message,category,code,diff
4485,match round one,8,[3:11:15] ,nnjaguy,lucia can be my california girl,cdesign,4,1
4486,match round one,8,[3:11:15] ,damuffinman,was kof announced yet,question,8,1
4487,match round one,8,[3:11:17] ,freakyyyy,gg is the best fighting game anime,game,9,1
4488,match round one,8,[3:11:20] ,lionheartrawr,ohh wiki says lucias accent i based off north philadelphia,cdesign,4,1
4489,match round one,8,[3:11:20] ,laverde,the stage transition is so sick in the new gg,game,9,1
4490,match round one,8,[3:11:22] ,swiftruina,they said a while back they were working on it i think,game,9,1
4491,match round one,8,[3:11:23] ,empgeneraltsochicken,yes kof was announced yesterday,game,9,1
4492,match round one,8,[3:11:25] ,megatonbeef,damuffinman yes,other,10,1
4493,match round one,8,[3:11:27] ,johow,haomaru in sc is sick,other,10,1
4494,match round one,8,[3:11:28] ,damuffinman,wow shit,goodp,6,1
4495,match round one,8,[3:11:36] ,damuffinman,any trailer yet,question,8,1
4496,match round one,8,[3:11:37] ,freakyyyy,but sfv ftw,other,10,1
4497,match round one,8,[3:11:38] ,horseapples,more kof gimme garou already,other,10,1
4498,match round one,8,[3:11:38] ,roninwoof,this new gg will make me care about gg again,other,10,1
4554,match round one,8,[3:15:19] ,damuffinman,sf will be for ps,game,9,56
4555,match round one,8,[3:15:24] ,laughswithknives,atprtsd,other,10,1
4556,match round one,8,[3:15:24] ,nahuelpv,no mvc,other,10,1
4557,match round one,8,[3:15:24] ,damuffinman,prob launch title,other,10,1
4558,match round one,8,[3:15:29] ,damuffinman,or close to launch,other,10,1
4559,match round one,8,[3:15:31] ,laverde,nurselee i agree,other,10,1
4560,match round one,8,[3:15:33] ,megatonbeef,sf on re engine,other,10,1
4561,match round one,8,[3:15:39] ,falciegaiah,yes no sf bring rival schools back or do a cvs game,other,10,1
4562,match round one,8,[3:15:44] ,reoayanami,nah they wont start making sf until ps is out,other,10,1
4563,match round one,8,[3:15:45] ,bobdobbz,horseapples i just mean i heard nothing about it im sure some are still playing wasnt it the netcode that hamstrung it,other,10,1
4564,match round one,8,[3:15:50] ,laverde,megatonbeef that would be sick,other,10,1
4565,match round one,8,[3:15:56] ,roninwoof,if sf is a launch game it will be the highest selling sf in history lol,game,9,1
4566,match round one,8,[3:15:59] ,sidebysidefgc,oh you can cancel her cr mk,request,1,1
4567,match round one,8,[3:16:08] ,damuffinman,i think mvc will also be ps eventually,other,10,1
4568,match round one,8,[3:16:08] ,sidebysidefgc,you gotta learn a combo with that,request,1,1
4569,match round one,8,[3:16:12] ,nurselee,laverde i mean if they do sfvi then by all means but i feel like the expectations are gonna be higher and they better not make the same mistakes like in sfv day on launch,game,9,1
4570,match round one,8,[3:16:14] ,ghostfromrdstrike,yall saying ps wont be out in the next year or so,game,9,1
4571,match round one,8,[3:16:16] ,lionheartrawr,dangalfthekrey was that in the cass trailer,other,10,1
4572,match round one,8,[3:16:16] ,khalz,said big announcements coming in november and december theres the winter bundle which has oroand something else probably super sfseason,game,9,1
4573,match round one,8,[3:16:18] ,sidebysidefgc,good sweep punish,caction,3,1
4708,match round one,8,[3:23:45] ,swiftruina,health and stun down to,cinfo,5,135
4709,match round one,8,[3:23:49] ,budafuka,the only nerfs karin needs are grapplers getting buffed,cinfo,5,1
4710,match round one,8,[3:23:53] ,beqwibber,laverde the discussion shouldnt be happening period you dont deserve anything,other,10,1
4711,match round one,8,[3:23:54] ,dangalfthekrey,rashid needs an overhaul he is so fuckin overloaded name thing he doesnt have in this game name weakness he has none literally,cinfo,5,1
4712,match round one,8,[3:23:55] ,1,is her v skill the lightning legs or the run,question,8,1
4713,match round one,8,[3:24:00] ,robzoobie,as for ratshit i mean fuck that made my day thank you,cinfo,5,1
4714,match round one,8,[3:24:04] ,ghostfromrdstrike,just give me maki and dudley and im good,request,1,1
4715,match round one,8,[3:24:05] ,rashidoo,fine ill play u in a sec,request,1,1
4716,match round one,8,[3:24:10] ,roninwoof,you act like million people buy sf,other,10,1
4717,match round one,8,[3:24:11] ,budafuka,delete rashid,request,1,1
4718,match round one,8,[3:24:13] ,rashidoo,but i warned ye,other,10,1
4719,match round one,8,[3:24:16] ,laverde,beqwibber i deserve the world and everything in it,other,10,1
4720,match round one,8,[3:24:24] ,vasionqt,have you figured anything out after roundhouse crush counter,question,8,1
4756,match round one,8,[3:26:48] ,aitcho,something new in training mode,game,9,36
4757,match round one,8,[3:26:49] ,reoayanami,considering how many problems and stock issues consoles run into at launch it would still take awhile to reach million which iwas sfvs target by then there would be plenty of titles already,game,9,1
4758,match round one,8,[3:27:02] ,beatsbynoelbrown,gief lookin like a gimp in that mask,cdesign,4,1
4759,match round one,8,[3:27:15] ,kiboshkaibutsu,am still waiting for granblue fantasy vs,other,10,1
4760,match round one,8,[3:27:17] ,leonthagod,sfv training mode is so much better than mk,game,9,1
4761,match round one,8,[3:27:32] ,gailardiagalan,roninwoof you are expecting many people to buy the ps at launch with the price tag they are charging for it at launch it would be better if they released about a year or two after launch of ps,game,9,1
